@relation winners_losers
@attribute person_name string
@attribute total_vowels numeric
@attribute total_consonants numeric
@attribute pos_0 numeric
@attribute pos_1 numeric
@attribute pos_2 numeric
@attribute pos_3 numeric
@attribute pos_4 numeric
@attribute pos_5 numeric
@attribute par_0 {True,False}
@attribute par_1 {True,False}
@attribute par_2 {True,False}
@attribute par_3 {True,False}
@attribute par_4 {True,False}
@attribute par_5 {True,False}
@attribute type_0 {v,c}
@attribute type_1 {v,c}
@attribute type_2 {v,c}
@attribute type_3 {v,c}
@attribute type_4 {v,c}
@attribute type_5 {v,c}
@attribute first_name_length_parity {True,False}
@attribute last_name_length_parity {True,False}
@attribute class {+,-}
@data
'Jean-Daniel Zucker',7,11,9,4,0,13,-52,3,False,True,True,False,True,False,c,v,v,c,c,c,False,True,+
'Sonya Snedecor',5,9,18,14,13,24,0,-65,True,True,False,True,True,False,c,v,c,c,v,c,False,True,+
'Glenn Silverstein',5,12,6,11,4,13,13,-65,True,False,True,False,False,False,c,c,v,c,c,c,False,False,-
'Avrim Blum',3,7,0,21,17,8,12,-65,True,False,False,True,True,False,v,c,c,v,c,c,False,True,-
'Scott E. Decatur',5,11,18,2,14,19,19,-65,True,True,True,False,False,False,c,c,v,c,c,c,False,False,-
'Dana Angluin',5,7,3,0,13,0,-65,0,False,True,False,True,False,True,c,v,c,v,c,v,True,False,+
'Wolfgang Maass',4,10,22,14,11,5,6,0,True,True,False,False,True,True,c,v,c,c,c,v,True,False,+
'Chidanand Apte',5,9,2,7,8,3,0,13,True,False,True,False,True,False,c,c,v,c,v,c,False,True,-
'Marko Grobelnik',5,10,12,0,17,10,14,-65,True,True,False,True,True,False,c,v,c,c,v,c,False,False,+
'Mary Soon Lee',5,8,12,0,17,24,-65,18,True,True,False,True,False,True,c,v,c,c,c,c,True,False,+
'Zhixiang Chen',4,9,25,7,8,23,8,0,False,False,True,False,True,True,c,c,v,c,v,v,True,True,-
'Mona Singh',3,7,12,14,13,0,-65,18,True,True,False,True,False,True,c,v,c,v,c,c,True,False,+
'Justin Boyan',4,8,9,20,18,19,8,13,False,True,True,False,True,False,c,v,c,c,v,c,True,False,+
'Daniel L. Silver',5,11,3,0,13,8,4,11,False,True,False,True,True,False,c,v,c,v,v,c,True,True,+
'David W. Aha',4,8,3,0,21,8,3,-65,False,True,False,True,False,False,c,v,c,v,c,c,False,False,+
'Robert S. Roos',4,10,17,14,1,4,17,19,False,True,False,True,False,False,c,v,c,v,c,c,True,True,+
'David Loewenstern',6,11,3,0,21,8,3,-65,False,True,False,True,False,False,c,v,c,v,c,c,False,False,+
'Eric Baum',4,5,4,17,8,2,-65,1,True,False,True,True,False,False,v,c,v,c,c,c,True,True,-
'John M. Zelle',3,10,9,14,7,13,-65,12,False,True,False,False,False,True,c,v,c,c,c,c,True,False,+
'Arun Sharma',4,7,0,17,20,13,-65,18,True,False,True,False,False,True,v,c,v,c,c,c,True,True,-
'Ronitt Rubinfeld',5,11,17,14,13,8,19,19,False,True,False,True,False,False,c,v,c,v,c,c,True,False,+
'Thomas Ellman',4,9,19,7,14,12,0,18,False,False,True,True,True,True,c,c,v,c,v,c,True,True,-
'Aaron Feigelson',7,8,0,0,17,14,13,-65,True,True,False,True,False,False,v,v,c,v,c,c,False,False,+
'Harris Drucker',4,10,7,0,17,17,8,18,False,True,False,False,True,True,c,v,c,c,v,c,True,False,+
'Carla E. Brodley',5,11,2,0,17,11,0,-65,True,True,False,False,True,False,c,v,c,c,v,c,False,False,+
'Alexander M. Meystel',6,14,0,11,4,23,0,13,True,False,True,False,True,False,v,c,v,c,v,c,False,False,-
'Maja Mataric',5,7,12,0,9,0,-65,12,True,True,False,True,False,True,c,v,c,v,c,c,True,False,+
'Leonard Pitt',4,8,11,4,14,13,0,17,False,True,True,False,True,False,c,v,v,c,v,c,False,True,+
'Eyal Kushilevitz',6,10,4,24,0,11,-65,10,True,True,True,False,False,True,v,c,v,c,c,c,True,False,-
'Long-Ji Lin',3,8,11,14,13,6,-52,9,False,True,False,True,True,False,c,v,c,c,c,c,False,False,+
'Ameur Foued',6,5,0,12,4,20,17,-65,True,True,True,True,False,False,v,c,v,v,c,c,False,False,-
'Antoine Cornuejols',8,10,0,13,19,14,8,13,True,False,False,True,True,False,v,c,c,v,v,c,False,True,-
'Welton Becket',4,9,22,4,11,19,14,13,True,True,False,False,True,False,c,v,c,c,v,c,True,True,+
'Haym Hirsh',2,8,7,0,24,12,-65,7,False,True,True,True,False,False,c,v,c,c,c,c,True,False,+
'Hiroshi Motoda',6,8,7,8,17,14,18,7,False,True,False,True,True,False,c,v,c,v,c,c,False,True,+
'John Fischer',3,9,9,14,7,13,-65,5,False,True,False,False,False,False,c,v,c,c,c,c,True,False,+
'George A. Drastal',6,11,6,4,14,17,6,4,True,True,True,False,True,True,c,v,v,c,c,v,True,False,+
'William Cohen',5,8,22,8,11,11,8,0,True,True,False,False,True,True,c,v,c,c,v,v,False,False,+
'Jing Peng',2,7,9,8,13,6,-65,15,False,True,False,True,False,False,c,v,c,c,c,c,True,True,+
'Alma Whitten',4,8,0,11,12,0,-65,22,True,False,True,True,False,True,v,c,c,v,c,c,True,False,-
'David Haussler',5,9,3,0,21,8,3,-65,False,True,False,True,False,False,c,v,c,v,c,c,False,True,+
'Joel Ratsaby',4,8,9,14,4,11,-65,17,False,True,True,False,False,False,c,v,v,c,c,c,True,False,+
'L. Thorne McCarty',3,14,11,-51,-65,19,7,14,False,False,False,False,False,True,c,c,c,c,c,v,True,False,-
'Chen K. Tham',2,10,2,7,4,13,-65,10,True,False,True,False,False,True,c,c,v,c,c,c,True,True,-
'Kan Deng',2,6,10,0,13,-65,3,4,True,True,False,False,False,True,c,v,c,c,c,v,False,True,+
'Russell Greiner',5,10,17,20,18,18,4,11,False,True,True,True,True,False,c,v,c,c,v,c,False,False,+
'Steffen Lange',4,9,18,19,4,5,5,4,True,False,True,False,False,True,c,c,v,c,c,v,False,False,-
'Andrew W. Moore',5,10,0,13,3,17,4,22,True,False,False,False,True,True,v,c,c,c,v,c,True,False,-
'Armand Prieditis',6,10,0,17,12,0,13,3,True,False,True,True,False,False,v,c,c,v,c,c,True,False,-
'Dunja Mladenic',5,9,3,20,13,9,0,-65,False,True,False,False,True,False,c,v,c,c,v,c,False,True,+
'Jong-Hoon Oh',4,8,9,14,13,6,-52,7,False,True,False,True,True,False,c,v,c,c,c,c,False,True,+
'Ken Lang',2,6,10,4,13,-65,11,0,True,True,False,False,False,True,c,v,c,c,c,v,False,True,+
'Bernhard Pfahringer',5,14,1,4,17,13,7,0,False,True,False,False,False,True,c,v,c,c,c,v,True,True,+
'Ronald L. Rivest',4,12,17,14,13,0,11,3,False,True,False,True,False,False,c,v,c,v,c,c,True,True,+
'Robert Williamson',6,11,17,14,1,4,17,19,False,True,False,True,False,False,c,v,c,v,c,c,True,True,+
'Stuart Russell',4,10,18,19,20,0,17,19,True,False,True,True,False,False,c,c,v,v,c,c,True,False,-
'Andrew Y. Ng',2,10,0,13,3,17,4,22,True,False,False,False,True,True,v,c,c,c,v,c,True,True,-
'Efim Kinber',4,7,4,5,8,12,-65,10,True,False,True,True,False,True,v,c,v,c,c,c,True,True,-
'David Finton',4,8,3,0,21,8,3,-65,False,True,False,True,False,False,c,v,c,v,c,c,False,True,+
'Mark Staley',3,8,12,0,17,10,-65,18,True,True,False,True,False,True,c,v,c,c,c,c,True,True,+
'Filippo Neri',5,7,5,8,11,8,15,15,False,True,False,True,False,False,c,v,c,v,c,c,False,True,+
'Jonathan Hodgson',5,11,9,14,13,0,19,7,False,True,False,True,False,False,c,v,c,v,c,c,True,False,+
'Dennis F. Kibler',4,12,3,4,13,13,8,18,False,True,False,False,True,True,c,v,c,c,v,c,True,True,+
'Michael J. Donahue',7,11,12,8,2,7,0,4,True,True,True,False,True,True,c,v,c,c,v,v,False,False,+
